"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"Anushka Asthana","November 7, 2016 Monday 7:22 PM GMT",,"Theresa May finds free movement for trade an issue outside EU as well; As visas and migration dominate talks in India, the PM must be realising the mountain she has to climb in a post-Brexit world","703 words","The Guardian","WORLD NEWS",
"Joe Watts","November 8, 2016 Tuesday 3:35 PM GMT",,"Brexit latest: Supreme Court gives Theresa May permission to appeal Article 50 ruling","700 words","The Independent (United Kingdom)","UK POLITICS",
"Claire Phipps","November 4, 2016 Friday 4:26 AM GMT",,"'Enemies of the people': British newspapers react to judges' Brexit ruling; The high court determined that MPs must have a say on triggering Article 50. For some front pages, this was a display of judicial independence too far","698 words","The Guardian","POLITICS",
"ROB MERRICK DEPUTY POLITICAL EDITOR","November 3, 2016 Thursday",,"Court to decide on whether Brexit trigger can be pulled","698 words","The Independent - Daily Edition","NEWS; Pg. 8",
,"November 12, 2016 Saturday",,"Opponents of Trump and of Brexit are indulging in anti-democratic tantrums, or worse; Letters to the Editor","697 words","The Daily Telegraph (London)","LETTERS; Pg. 29",
"Alison Little, Deputy Political Editor, in New Delhi","November 6, 2016 Sunday 7:55 PM GMT",,"'People voted for us to leave the EU' May insists she will honour Brexit","697 words","Express Online",,
"ALEXANDER ROBERTSON FOR MAILONLINE","November 13, 2016 Sunday 3:14 PM GMT",,"Brexit doom-mongers predict 'empty shelves' at M&S and price hikes for electrical goods, energy and petrol as a result of leaving the EU","695 words","MailOnline","NEWS",
"CRISPIN BLUNT","November 11, 2016 Friday",,"Europe now needs Britain more than ever; The prospect of the US reducing its commitment to Nato gives the UK more leverage in Brexit talks","695 words","The Daily Telegraph (London)","FEATURES; Pg. 16",
"By Christopher Hope, Chief Political Correspondent","November 11, 2016 Friday 5:59 PM GMT",,"Britain could join USA, Canada and Mexico in new free trade area after Brexit","694 words","telegraph.co.uk","NEWS",
"By Szu Ping Chan","November 8, 2016 Tuesday 12:01 AM GMT",,"Autumn Statement: Hammond must 'prepare for more austerity' as Brexit raises borrowing by £25bn","694 words","telegraph.co.uk","BUSINESS",
"By Simon Johnson and Auslan Cramb","November 5, 2016 Saturday 7:52 AM GMT",,"'Up to six' SNP MSPs who voted for Brexit urged to go public","694 words","telegraph.co.uk","NEWS",
"DAILYMAIL.COM REPORTER","November 11, 2016 Friday 9:58 PM GMT",,"Americans copy post Brexit Brits by wearing safety pins to take a stand against racism, xenophobia and sexism in the wake of the election","692 words","MailOnline","NEWS",
"By Christopher Hope, Chief Political Correspondent and Kate McCann, Senior Political Correspondent","November 7, 2016 Monday 12:50 AM GMT",,"Theresa May will call a general election if Brexit stalls, Jeremy Hunt hints","692 words","telegraph.co.uk","NEWS",
"By Nigel Nelson","November 5, 2016 Saturday 8:02 PM GMT",,"Jeremy Corbyn gives Theresa May ultimatum: Brexit on my terms or I'll force election in spring; Speaking exclusively to the Sunday Mirror, the Labour leader said he relished the idea of the UK going to the polls","690 words","mirror.co.uk","NEWS,UK NEWS",
,"November 10, 2016 Thursday",,"Goldman Brexit move; news in brief","69 words","The Times (London)","BUSINESS; Pg. 40",
"Alix Culbertson","November 4, 2016 Friday 12:00 AM GMT",,"UK 'more flexible' out of EU: Chinese investors say Brexit has opened up major opportunity","689 words","Express Online",,
"ALEX MATTHEWS FOR MAILONLINE","November 12, 2016 Saturday 7:57 PM GMT",,"Nigel Farage Ukippers Theresa May by turning up at Trump Tower before her: 'Mr Brexit' aims to become first British politician to meet the new President-elect","688 words","MailOnline","NEWS",
"ALAN COCHRANE","November 9, 2016 Wednesday",,"Brexit fuelling a growing rift in the SNP; With such a rebellion in the ranks Sturgeon can't proceed with a second independence referendum","687 words","The Daily Telegraph (London)","FEATURES; Pg. 18",
"Rebecca Flood","November 8, 2016 Tuesday 4:01 PM GMT",,"Cadbury's denies rebranding after Brexit to sell in the European Union","686 words","Express Online",,
"By Alan Tovey, Industry Editor","November 2, 2016 Wednesday 9:53 AM GMT",,"Britain must not be held hostage over Brexit, warns Lord Hague","685 words","telegraph.co.uk","BUSINESS",
,"November 11, 2016 Friday 9:40 AM GMT",,"Brexit trade chief Liam Fox criticised for not making any official EU visits","683 words","Express Online",,
"Ian Johnston","November 3, 2016 Thursday 12:02 PM GMT",,"Brexit legal challenge wins: MPs could delay leaving EU until after 2020, says top constitutional lawyer; Geoffrey Robertson QC,who predicted Theresa May would need parliamentary approval to trigger Article 50, says MPs could prevent Brexit until after next election if they have 'guts and integrity'","682 words","The Independent (United Kingdom)","UK POLITICS",
"Heather Stewart Political editor","November 7, 2016 Monday 5:32 PM GMT",,"David Davis: parliament will not dictate Brexit talks; Brexit secretary tells Commons that the government is determined not to have its hands tied by MPs in EU exit negotiations","681 words","The Guardian","POLITICS",
"CHARLIE MOORE FOR MAILONLINE","November 5, 2016 Saturday 12:38 AM GMT",,"Ministers 'are now openly discussing' a snap General Election so Theresa May can ensure that Brexit goes ahead","681 words","MailOnline","NEWS",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 10, 2016 Thursday 11:49 AM GMT",,"Philip Hammond warns Donald Trump not to launch a trade war with Beijing as he is promised by Chinese officials in London that post-Brexit trade will reach a 'new level'","680 words","MailOnline","NEWS",
"Denis MacShane","November 3, 2016 Thursday 12:10 PM GMT",,"The High Court ruling on Brexit proves we never should have treated the vote with a respect it didn't deserve; According to the British Elections Study, about 7 per cent of the Leave vote would now change its mind. As the Brexit minister David Davis says: 'A democracy that cannot change its mind is not a democracy'","679 words","The Independent (United Kingdom)","VOICES",
"Lizzie Stromme","November 7, 2016 Monday 10:38 PM GMT",,"Brexit will BOOST trade: UK will get better deals OUTSIDE bloc, Colombian President vows","677 words","Express Online",,
,"November 5, 2016 Saturday",,"OUTRAGED AND BETRAYED... DAILY EXPRESS READERS VENT THEIR ANGER ON BREXIT","677 words","The Express","NEWS; Pg. 5",
"Lizzie Stromme","November 3, 2016 Thursday 1:00 PM GMT",,"Gleeful Sturgeon GLOATS over High Court's shock Brexit ruling during FMQs","677 words","Express Online",,
"Editorial","November 3, 2016 Thursday 4:55 PM GMT",,"Attempts by the Government to fight the High Court's decision will only worsen rifts over Brexit; It is entirely proper, if the Government indeed plans to govern on behalf of all the people in this country (not just the 52 per cent) that the people's representatives should have some input as to what Brexit might look like","677 words","The Independent (United Kingdom)","EDITORIALS",
"Joe Barnes","November 4, 2016 Friday 6:32 PM GMT",,"GET OVER IT! Bitter Farron calls for second Brexit vote after High Court Article 50 ruling","675 words","Express Online",,
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 4, 2016 Friday 8:51 AM GMT",,"Judges' ruling on my Brexit powers will NOT slow down our departure from the EU, Theresa May to tell Brussels chief as calls mount for a snap election to end the 'constitutional crisis'","675 words","MailOnline","NEWS",
"Lucy Pasha-Robinson","November 3, 2016 Thursday 2:09 PM GMT",,"Brexit legal challenge: European media brand High Court ruling 'strong humiliation' for Theresa May; 'She was wrong on an issue of transcendental importance, which undermines her authority in managing negotiations with Europe's other member states'","673 words","The Independent (United Kingdom)","EUROPE",
"Henry McDonald in Dublin","November 2, 2016 Wednesday 11:43 AM GMT",,"Irish PM warns Brexit talks between UK and EU could turn vicious; Enda Kenny urges his fellow EU leaders not to become 'obsessed' over what Britain may or may not get in Brexit negotiations","673 words","The Guardian","WORLD NEWS",
"Oliver Wright","November 8, 2016 Tuesday",,"Commons unites to urge vote on Brexit","672 words","The Times (London)","NEWS; Pg. 23",
"Alexandra Sims","November 5, 2016 Saturday 10:27 PM GMT",,"Labour could block Brexit by voting against Article 50 over single market demands, Jeremy Corbyn says; 'We are not calling for a second referendum. We're calling for market access for British industry to Europe'","671 words","The Independent (United Kingdom)","UK POLITICS",
"Vincent Wood","November 8, 2016 Tuesday 7:44 PM GMT",,"Have you cake and eat it! MEP says Britons CAN have benefits of EU membership after Brexit","668 words","Express Online",,
"DENIS MACSHANE","November 4, 2016 Friday",,"Brexit never deserved our respect in the first place","668 words","The Independent - Daily Edition","COMMENT; Pg. 33",
,"November 4, 2016 Friday",,"Defying 17m who voted for Brexit is no sort of justice","668 words","The Sun (England)","FEATURES; Pg. 44",
"MARTIN ROBINSON, UK CHIEF REPORTER FOR MAILONLINE","November 3, 2016 Thursday 10:51 AM GMT",,"The South American born former model who took on Theresa May and won: How millionaire married to 'Mr Hedge Fund' and said Brexit made her 'physically sick' has derailed British democracy","668 words","MailOnline","NEWS",
"By Simon Johnson, Scottish Political Editor","November 2, 2016 Wednesday 12:44 PM GMT",,"SNP donor Sir Brian Souter: Brexit damage is being overestimated","668 words","telegraph.co.uk","NEWS",
"MARTIN ROBINSON, UK CHIEF REPORTER FOR MAILONLINE","November 9, 2016 Wednesday 7:31 AM GMT",,"So Trump IS Mr Brexit: Sarah Palin says Britain led the way with shock EU vote as she celebrates 'the people taking back control'","665 words","MailOnline","NEWS",
"Reiss Smith","November 4, 2016 Friday 11:59 AM GMT",,"Who is Stephen Phillips and why did the Tory MP resign over Brexit?","665 words","Express Online",,
"Joe Barnes","November 7, 2016 Monday 5:06 PM GMT",,"The Supreme Court is 'HIGHLY UNLIKELY' to overturn Brexit ruling, warns top lawyer","663 words","Express Online",,
,"November 4, 2016",,"A decision that changes everything - so where next for Brexit?; Q&A","662 words","i-Independent Print Ltd","NEWS; Pg. 4",
"CLAIRE HEFFRON FOR THISISMONEY.CO.UK","November 11, 2016 Friday 4:49 PM GMT",,"British consumers vanquish Brexit blues, as they continue to splash out at restaurants and go shopping","660 words","MailOnline","NEWS",
"Tom Martin, Scottish Political Editor","November 9, 2016 Wednesday 5:40 PM GMT",,"'Stop bickering over Brexit' Scottish Secretary hits out at Nicola Sturgeon","660 words","Express Online",,
"MARK SHAPLAND FOR THIS IS MONEY","November 7, 2016 Monday 2:57 PM GMT",,"Ryanair to slash air fares as Michael O'Leary aims to encourage people to take a break in the face of Brexit","660 words","MailOnline","MARKETS",
"Heather Stewart","November 6, 2016 Sunday 3:06 PM GMT",,"Labour byelection candidate would vote against Brexit bill; Christian Wolmar, running against Zac Goldsmith in Richmond Park, says he wants to prevent a 'disaster for Britain'","660 words","The Guardian","POLITICS",
"John Crace","November 8, 2016 Tuesday 5:29 PM GMT",,"Theresa struggles to take back control - from her own Maybot; PM's brain appears to have been hacked sometime since Brexit vote as she dodges awkward questions on jolly to India","659 words","The Guardian","POLITICS",
"Alice Foster","November 3, 2016 Thursday 7:00 AM GMT",,"Brexit: How long will we be shackled to the EU after we voted to leave months ago?","657 words","Express Online",,
"Jon Rogers","November 9, 2016 Wednesday 4:04 PM GMT",,"Theresa May win's Hungarian PM Viktor Orban's backing on Brexit plans","656 words","Express Online",,
"By Julia Bradshaw","November 5, 2016 Saturday 7:30 PM GMT",,"UK could miss out on EU science grants post-Brexit","656 words","telegraph.co.uk","BUSINESS",
"HEATHER SAUL","November 4, 2016 Friday",,"Meet the philanthropist who took the Government to court over Brexit","656 words","The Independent - Daily Edition","NEWS; Pg. 11",
"James Moore","November 7, 2016 Monday 12:33 PM GMT",,"Lord Mayor finds reasons to be cheerful about post Brexit London; The financial centre's chief advocatesays the City has come through crises before, but he warns that there is no room for complacency about the current one","654 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"Anushka Asthana and Rajeev Syal","November 4, 2016 Friday 11:38 AM GMT",,"Stephen Phillips quits as MP as friends say he labelled Tories Ukip-lite; Brexiter criticised government attempt to negotiate exit without parliamentary scrutiny as well as party's 'lurch to the right' Follow our live updates on the impact of the Brexit ruling","654 words","The Guardian","POLITICS",
"Benedict Spence","November 4, 2016 Friday 2:16 PM GMT",,"By dithering over Brexit, Theresa May has been outmaneuvered by the High Court; As Labour have dithered so woefully in recent months, it's understandable that May thought she'd be able to bulldoze her way through Brexit","654 words","The Independent (United Kingdom)","VOICES",
"Zoie O'Brien","November 9, 2016 Wednesday 3:27 AM GMT",,"US ELECTION 2016: 'America's Brexit' as Donald Trump confounds polls to win presidency","653 words","Express Online",,
"By Ben Glaze","November 7, 2016 Monday 2:30 PM GMT",,"Cricket legend Geoffrey Boycott praises 'brilliant like Thatcher' Theresa May's Brexit strategy; Ex-England opener Boycott - who's in India at the same time as the PM - claims ""she'll show her mettle"" over Brexit","652 words","mirror.co.uk","NEWS,UK NEWS",
"Jessica Elgot","November 7, 2016 Monday 12:34 PM GMT",,"Brexit: CPS considers complaint that leave campaigns misled voters; Case argues Vote Leave and Leave.EU made 'knowingly misleading' assertions of fact, including claim EU cost UK £350m a week","651 words","The Guardian","POLITICS",
,"November 10, 2016 Thursday",,"Brexit-risk software; news in brief","65 words","The Times (London)","BUSINESS; Pg. 58",
"AMIE GORDON FOR MAILONLINE","November 5, 2016 Saturday 10:48 PM GMT",,"Now Walker's blame Brexit as they hike crisps price by 10% - even though they are made in Britain from British spuds","648 words","MailOnline","NEWS",
"Oliver Wright","November 9, 2016 Wednesday",,"Sturgeon demands Scots vote in legal challenge to Brexit","647 words","The Times (London)","NEWS; Pg. 23",
"Lindsay McIntosh","November 9, 2016 Wednesday",,"Lord advocate to lodge Scottish application to join Brexit court fight","647 words","The Times (London)","NEWS; Pg. 12",
"Will Gore","November 4, 2016 Friday 12:15 PM GMT",,"By branding High Court judges 'enemies of the people', the pro-Brexit media proved it's finally lost touch with reality; To compare the defence of this country against the Nazis to a new battle against the ""injustice"" of a court ruling gets about as close as you can to encouraging mob rule without actually doing so. Has it really come to that?","646 words","The Independent (United Kingdom)","VOICES",
,"November 7, 2016 Monday",,"Way Out; If opposition parties disagree with the government's vision of Brexit then they should offer more clarity about their own","644 words","The Times (London)","EDITORIAL; OPINION; LEADING ARTICLES; Pg. 29",
"Rehema Figueiredo","November 4, 2016 Friday 11:22 AM GMT",,"BREAKING: Stephen Phillips resigns as Conservative MP over Brexit Government policies","644 words","Express Online",,
"Anushka Asthana in Bangalore","November 8, 2016 Tuesday 2:30 PM GMT",,"Lloyd's boss urges Theresa May to 'get cracking' with Brexit; Remain supporter John Nelson has been a vocal opponent of hard Brexit but warns delays could prove damaging for business","643 words","The Guardian","POLITICS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE and MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 7, 2016 Monday 11:00 AM GMT",,"Brexit WILL need an Act of Parliament to go ahead if Government fails in bid to overturn High Court ruling, says Downing Street","643 words","MailOnline","NEWS",
"Graham Ruddick and Jill Treanor","November 13, 2016 Sunday 7:25 PM GMT",,"RBS chairman calls on Theresa May to draw up Brexit transitional plan; Sir Howard Davies says banks will not wait for government's full negotiating position and will move operations out of UK","642 words","The Guardian","BUSINESS",
"Owen Bowcott Legal affairs correspondent","November 8, 2016 Tuesday 5:43 PM GMT",,"Brexit may be final straw for some couples, say divorce lawyers; Family law organisation's warning coincides with news of Dutch entrepreneur's plans for a divorce hotel in UK","641 words","The Guardian","LIFE AND STYLE",
"Jon Rogers","November 5, 2016 Saturday 12:04 PM GMT",,"Blocking Brexit could lead to VIOLENT PROTESTS on our streets, Eurosceptic MP warns","638 words","Express Online",,
"Joe Barnes","November 7, 2016 Monday 8:14 AM GMT",,"'We'll get our Brexit' Ukip MEP accuses Remainers of not respecting EU referendum result","637 words","Express Online",,
"Rehema Figueiredo","November 6, 2016 Sunday 11:54 AM GMT",,"Future military action could be damaged by Brexit ruling, say ex-armed forces chiefs","637 words","Express Online",,
"Nick Fletcher","November 6, 2016 Sunday 7:00 AM GMT",,"A post-Brexit recovery - for Gove at least; Rather than barracking from the back benches, Michael Gove now has a job or two to do","637 words","The Observer (London)","POLITICS",
"Will Worley","November 5, 2016 Saturday 11:52 AM GMT",,"Bar Council calls on Liz Truss to condemn 'serious and unjustified attacks on the judiciary' after Brexit ruling; 'A strong independent judiciary is essential to a functioning democracy and to upholding the rule of law'","636 words","The Independent (United Kingdom)","HOME NEWS",
"Lizzie Stromme","November 4, 2016 Friday 10:59 AM GMT",,"Astonishing moment Remainer blasts Brexit as 'ESTABLISHMENT CONSPIRACY' and praises judges","636 words","Express Online",,
"US POLITICS Mary Dejevsky","November 12, 2016",,"Trump-Brexit and the risk of revolution; US ELECTION","635 words","i-Independent Print Ltd","NEWS; Pg. 10",
"Jane Merrick","November 5, 2016 Saturday 12:42 PM GMT",,"A snap general election is the only way we can heal our Brexit wounds; But now, nearly six months on, that trust is on the verge of collapse once again.Vacuums in politics are dangerous, and allow extreme and authoritarian rhetoric to take hold","635 words","The Independent (United Kingdom)","VOICES",
"WILL GORE","November 5, 2016 Saturday",,"Pro-Brexit press hyperbole comes perilously close to a call for mob rule","634 words","The Independent - Daily Edition","COMMENT; Pg. 33",
"RORY TINGLE FOR MAILONLINE","November 5, 2016 Saturday 9:07 PM GMT",,"I will only accept Brexit on MY terms says Jeremy Corbyn as he tells Theresa May he'll force a spring election if she doesn't agree","634 words","MailOnline","NEWS",
"Patrick Christys","November 3, 2016 Thursday 7:30 PM GMT",,"Brexit might never happen as Article 50 can be reversed at any time, experts warn","634 words","Express Online",,
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 6, 2016 Sunday 4:43 PM GMT",,"A Brexit bonus! MEPs including Nigel Farage have seen their pay rise by £1,000 a month due to fall in Pound since historic referendum","631 words","MailOnline","NEWS",
,"November 6, 2016",,"Booming after Brexit; LETTERS","63 words","Sunday Express","LETTERS; Pg. 31",
,"November 4, 2016 Friday",,"Shawbrook bats away fears of Brexit downturn; BUSINESS BULLETIN","63 words","The Daily Telegraph (London)","BUSINESS;NEWS; Pg. 7",
"Christopher Hope ; Kate McCann","November 7, 2016 Monday",,"May will go to the country if Brexit stalls, hints Hunt; Labour 'will look for any excuse to delay leaving EU'","629 words","The Daily Telegraph (London)","NEWS; Pg. 1,4",
"Greg Heffer, Political Reporter","November 4, 2016 Friday 5:43 PM GMT",,"Clinton making same 'catastrophic mistake' as Cameron over Brexit, says Ed Balls","629 words","Express Online",,
"Phillip Inman Economics correspondent","November 3, 2016 Thursday 1:48 PM GMT",,"Article 50 court ruling gives investors a shot in the arm; Pound rises against dollar and bank stocks rise as City reacts positively to high court judgment on Brexit but CBI and IoD remain calm","629 words","The Guardian","POLITICS",
"Lizzie Stromme","November 3, 2016 Thursday 1:56 PM GMT",,"'Referendum WASN'T ADVISORY' Constitutional crisis if Brexit vote is overturned, IDS warns","628 words","Express Online",,
"My View Grace Dent","November 8, 2016",,"'I'm a Celebrity' is Brexit maximus; How politics entered the TV schedules","626 words","i-Independent Print Ltd","NEWS; Pg. 19",
"Jon Rogers","November 5, 2016 Saturday 10:20 AM GMT",,"Block Brexit at your PERIL: Parties standing against Leaving EU could win 150 LESS seats","626 words","Express Online",,
"By Harry Yorke","November 8, 2016 Tuesday 9:00 AM GMT",,"Telegraph Festival of Business 2016: Cath Kidston boss Kenny Wilson says Government must keep 'Brand Britain' strong to help businesses succeed post-Brexit","6254 words","telegraph.co.uk","BUSINESS",
"By Asa Bennett","November 8, 2016 Tuesday 12:45 PM GMT",,"Remainers want to prosecute Leavers over the referendum, but the Brexit campaigns have already been judged - by the voters","625 words","telegraph.co.uk","NEWS",
"Nazia Parveen North of England correspondent","November 4, 2016 Friday 5:34 PM GMT",,"England's most deprived area talks of betrayal following Brexit ruling; Leave voters in Oldham feel let down by the decision to give MPs a say on Brexit, although some locals spoke of their relief","625 words","The Guardian","POLITICS",
"Joe Watts","November 12, 2016 Saturday 6:49 AM GMT",,"Theresa May could try to overturn Brexit court ruling by claiming Article 50 won't affect UK citizens' rights; Exclusive: Government source reveals ministers may use 'dualist system' argument to overturn decision","624 words","The Independent (United Kingdom)","UK POLITICS",
"JANE MERRICK","November 6, 2016 Sunday",,"A snap general election is the only way we can heal our Brexit wounds","624 words","The Independent - Daily Edition","COMMENT; Pg. 33",
"Alan Cochrane","November 5, 2016 Saturday",,"Just as Angus settles in at the top table, it could all be in jeopardy; Brexit turmoil","624 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"Simon Johnson","November 3, 2016 Thursday",,"Souter dismisses SNP fears over Brexit; Souter says Brexit can be positive 'if we have guts'","624 words","The Daily Telegraph (London)","NEWS; Pg. 1,2",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 2, 2016 Wednesday 1:04 PM GMT",,"Brexit-backing boss of Wetherspoons threatens to stop selling European beers if 'bullying' EU leaders impose tariffs on Britain","624 words","MailOnline","NEWS",
"By Justin Huggler","November 2, 2016 Wednesday 4:07 PM GMT",,"Germany should intervene to prevent Brexit or 'minimise damage', country's economic advisory body says","623 words","telegraph.co.uk","NEWS",
"By Charles Moore","November 9, 2016 Wednesday 6:00 PM GMT",,"Trumped America and Brexit Britain are both calling the bluff of the established order","622 words","telegraph.co.uk","NEWS",
"EDITORIAL","November 7, 2016 Monday",,"May must tread carefully with India if Brexit Britain is to succeed","621 words","The Independent - Daily Edition","NEWS; Pg. 2",
"Rob Merrick","November 4, 2016 Friday 9:10 AM GMT",,"Theresa May is warned Parliament will stall her exit plans if she pursues a 'hard Brexit'; Nick Clegg says the Liberal Democrats will demand a 'soft Brexit' - anda second referendum on the deal that emerges","621 words","The Independent (United Kingdom)","UK POLITICS",
"Vickiie Oliphant","November 8, 2016 Tuesday 3:31 PM GMT",,"Government gets go ahead to APPEAL High Court's controversial Article 50 Brexit ruling","620 words","Express Online",,
"Giles Smith","November 5, 2016 Saturday",,"Poppygate: the most Brexit thing ever?","620 words","The Times (London)","SPORT; Pg. 24",
"Zlata Rodionova","November 3, 2016 Thursday 10:15 AM GMT",,"Brexit legal challenge: Pound rises as High Court rules against Theresa May triggering Article 50 without Parliament; The Government has been given the go-ahead to appeal against the ruling at the Supreme Court.","62 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Joe Barnes","November 2, 2016 Wednesday 9:21 PM GMT",,"Ex-Australian PM lauds 'determined' Brits who will 'make a success of' Brexit","617 words","Express Online",,
"By James Kirkup","November 11, 2016 Friday 9:42 AM GMT",,"The new political divide which drove both Brexit and Donald Trump: town versus country","614 words","telegraph.co.uk","NEWS",
"Andrew Griffin","November 3, 2016 Thursday 5:27 PM GMT",,"Brexit won't be delayed at all by the legal challenge, Theresa May to tell other EU leaders; 'I will vote against it. I shall stick to my guns. I'm not going to cast a hypocritical vote,' says veteran Tory MP Ken Clarke on triggering Article 50","614 words","The Independent (United Kingdom)","UK POLITICS",
"GRACE DENT","November 8, 2016 Tuesday",,"'I'm A Celebrity' is the ultimate Brexit show: a spectacle of bullying","613 words","The Independent - Daily Edition","COMMENT; Pg. 34",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 6, 2016 Sunday 9:46 AM GMT",,"Nigel Farage warns of RIOTS on UK streets if MPs block Brexit as he tells nemesis Gina Miller: 'What part of leave don't you understand?'","611 words","MailOnline","NEWS",
,"November 2, 2016 Wednesday 4:21 PM GMT",,"Sturgeon slapped down by own DONOR as Stagecoach chief says Brexit opens door to WORLD","611 words","Express Online",,
,"November 4, 2016",,"Brexit plan in tatters","61 words","i-Independent Print Ltd","FEATURES; Pg. 1",
"Siobhan McFadyen","November 9, 2016 Wednesday 2:16 PM GMT",,"BREAKING: Donald Trump's campaign manager says US election victory is 'not Brexit'","607 words","Express Online",,
"Zoie O'Brien","November 4, 2016 Friday 1:19 PM GMT",,"Boris Johnson says Brexit DOES mean Brexit as 'You can't put toothpaste back in the tube'","607 words","Express Online",,
"Heather Stewart Political editor","November 6, 2016 Sunday 11:20 AM GMT",,"Labour will not block article 50, Jeremy Corbyn allies confirm; Sources clarify that party will not block formal process of leaving EU after Mirror interview suggests it had Brexit 'red lines'","605 words","The Guardian","POLITICS",
"Fraser Moore","November 5, 2016 Saturday 12:00 AM GMT",,"Ministers are 'READY' for General Election as pressure mounts on MPs to deliver Brexit","605 words","Express Online",,
"Fraser Moore","November 4, 2016 Friday 10:57 PM GMT",,"Ministers are 'READY' for General Election as pressure mounts on MPs to deliver Brexit","605 words","Express Online",,
"Ben Chapman","November 3, 2016 Thursday 12:35 PM GMT",,"Brexit legal challenge: City economists struggle to predict what happens next to the markets; Uncertainty in the looks set to looks set to reign as the Government mounts an appeal against the decision on Article 50","605 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Tim Farron","November 11, 2016 Friday 6:04 PM GMT",,"What does Brexit mean? Once we know, the people must have a vote on it; The Lib Dems are clear: the government cannot negotiate in secret - it must tell the public the terms of the deal it strikes and hold a second referendum","604 words","The Guardian","OPINION",
"Adam Withnall","November 6, 2016 Sunday 11:46 AM GMT",,"Scotland 'expected' to join Brexit legal challenge in fight against May triggering Article 50; 'Their case will be different to ours. They will be talking about their own particular interests'","603 words","The Independent (United Kingdom)","UK POLITICS",
"Zoie O'Brien","November 2, 2016 Wednesday 1:14 PM GMT",,"Angela Merkel's top economic advisors tell her to STOP BREXIT claiming it ISN'T done deal","603 words","Express Online",,
"Rachael Pells","November 10, 2016 Thursday 2:48 PM GMT",,"Daily Mail's 'Nazi propaganda' front page receives more than 1,000 complaints to IPSO; Stories published inThe Sunand theDaily Expressthat referred to Brexit High Court case claimant Gina Miller as 'foreign-born' also sparked dozens of complaints, the watchdog said","602 words","The Independent (United Kingdom)","MEDIA",
"Rebecca Nicholson","November 8, 2016 Tuesday 2:07 PM GMT",,"The Brexit Toblerone sums up 2016: more troughs than peaks; There are more serious things to worry about than a chocolate bar becoming less chunky. But it's all tied in with the plunging pound - and a general air of gloom","602 words","The Guardian","OPINION",
"Caroline Wheeler","November 6, 2016 Sunday 12:01 AM GMT",,"Chancellor Philip Hammond and Brexit Secretary David Davis find peace formula","602 words","Express Online",,
,"November 3, 2016 Thursday 6:57 PM GMT",,"Sturgeon calls for Brexit veto after High Court ruling","601 words","Express Online",,
"Ben Chu","November 3, 2016 Thursday 4:38 PM GMT",,"Brexit legal challenge wins: What does it mean for the economy?; Sterling has become the easily the most significant barometer of fluctuating market sentiment on the UK's post-Brexit prospects","601 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Cyrus Engineer","November 10, 2016 Thursday 7:41 AM GMT",,"'Good for us - BAD for Europe' President Trump will be great for post-Brexit Britain","600 words","Express Online",,
"JASON BEATTIE","November 4, 2016 Friday",,"odds slashed on 2017 election; Theresa May could be forced into snap poll after defeat in High Court Brexit battle","60 words","Daily Mirror","NEWS; FRONT PAGE; Pg. 1",
"Jessica Elgot Political reporter","November 3, 2016 Thursday 9:42 AM GMT",,"Brexit will be Titanic success, says Boris Johnson; Foreign secretary also compares himself to Michael Heseltine's dog as he collects Spectator comeback of the year award","598 words","The Guardian","POLITICS",
"Hannah Fearn","November 3, 2016 Thursday 2:14 PM GMT",,"Stop complaining about the legal challenge to Brexit - this is your beloved democracy in action; If the Brexit plebiscite was the purest expression of the democratic ideal, then the legal process through which it will beachieved is necessary and priceless","598 words","The Independent (United Kingdom)","VOICES",
"Allan Hall in Berlin","November 11, 2016 Friday 12:00 AM GMT",,"We NEED EU Army - Germany insists joint force MUST happen after Trump win and Brexit","597 words","Express Online",,
"Charles Moore","November 10, 2016 Thursday",,"As with Brexit, voters wanted to see the pursed lips of the powerful; The 45th US President","597 words","The Daily Telegraph (London)","NEWS; Pg. 12,13",
"By Mikey Smith","November 11, 2016 Friday 9:42 AM GMT",,"Theresa May faces Brexit resistance as MPs threaten to vote against Article 50; Lib Dem Leader Tim Farron says his MPs and peers will vote against triggering the Brexit process unless there's a second referendum","596 words","mirror.co.uk","NEWS,UK NEWS",
"David Maddox","November 4, 2016 Friday",,"Farage under pressure to stay on as Ukip's leader; BREXIT BETRAYAL","596 words","The Express","NEWS; Pg. 2,3",
