"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"By Peter Foster , Europe Editor","October 20, 2016 Thursday 8:40 AM GMT",,"Theresa May facing 'critical test' of her sincerity towards Brexit negotiations at EU Council dinner","612 words","telegraph.co.uk","NEWS",
"By Ashley Armstrong and Rhiannon Bury","October 31, 2016 Monday 11:04 AM GMT",,"WPP warns of 'Brexit anxiety' as UK revenues slip","611 words","telegraph.co.uk","BUSINESS",
"By Steven Swinford, Deputy Political Editor and David Chazan","October 30, 2016 Sunday 10:00 PM GMT",,"British fisherman will catch hundreds of thousands of tonnes more fish after Brexit, minister says","611 words","telegraph.co.uk","NEWS",
"By Kate Palmer, Business reporter and Jillian Ambrose","October 21, 2016 Friday 7:33 AM GMT",,"British American Tobacco stuns with $47bn post-Brexit takeover","611 words","telegraph.co.uk","BUSINESS",
"Oli Smith","October 30, 2016 Sunday 2:25 PM GMT",,"Leave chief calls Canadian Bank of England boss Brexit LOSER amid rumours he will quit","610 words","Express Online",,
"MARTIN ROBINSON, UK CHIEF REPORTER FOR MAILONLINE","October 28, 2016 Friday 2:40 PM GMT",,"Morrisons caves in to pressure from Marmite-maker Unilever and hikes the cost of the spread by 30p-a-jar after the firm's Brexit price row with Tesco","610 words","MailOnline","NEWS",
,"November 1, 2016 Tuesday",,"SO what does 'Brexit means [...]","61 words","Daily Mirror","SPORT; OPINION COLUMNS; Pg. 53",
"Nigel Morris POLITICAL EDITOR","October 31, 2016",,"Business Secretary under fire for revealing Brexit strategy on TV; POLITICS","609 words","i-Independent Print Ltd","NEWS; Pg. 4",
"DANIEL MARTIN CHIEF POLITICAL CORRESPONDENT FOR THE DAILY MAIL","October 25, 2016 Tuesday 10:52 PM GMT",,"'Companies will quit Britain if we vote to leave the EU': Leaked tape of Theresa May talking to bankers before the referendum reveals what the PM REALLY thinks of Brexit","607 words","MailOnline","NEWS",
,"October 22, 2016 Saturday",,"Davis tells Sturgeon: No special deal for you in Brexit talks","607 words","The Times (London)","NEWS; Pg. 9",
"FIONA PARKER","October 31, 2016 Monday",,"Brexit car crash or clear road ahead?","606 words","Daily Mirror","FEATURES; Pg. 40",
"Sarah Butler","November 1, 2016 Tuesday 8:25 PM GMT",,"Legally protected UK food products under Brexit threat, says Nick Clegg; Lib Dem spokesman warns EU businesses could make imitations of regionally designated foodstuffs such as Melton Mowbray pork pies and stilton","605 words","The Guardian","POLITICS",
"Ishaan Tharoor","November 1, 2016 Tuesday 12:25 PM GMT",,"Because of Brexit, British Jews whose families once fled the Nazis are applying for German passports; In August, the German Embassy in London confirmed it had received over 400 inquiries regarding citizenship in the seven weeks following the EU referendum","605 words","The Independent (United Kingdom)","HOME NEWS",
"By Gemma Mullin","October 29, 2016 Saturday 11:39 AM GMT",,"British Airways and Apple prices to rise while free gym towel services BANNED after post-Brexit pound slump; British Airways has warned prices could rise after its profits took a hit while MacBook Pro's are up to £500 more expensive in the wake of Brexit","605 words","mirror.co.uk","NEWS,UK NEWS",
"Ashley Cowburn","October 29, 2016 Saturday 10:07 PM GMT",,"Brexit: John McDonnell demands Government offers Nissan assurances to entire manufacturing sector; 'We cannot have a situation where the government are simply going factory-by-factory'","604 words","The Independent (United Kingdom)","UK POLITICS",
"SABAH MEDDINGS FOR THE DAILY MAIL","October 27, 2016 Thursday 8:24 PM GMT",,"Plug pulled on £15bn of London deals: O2 and Misys axe plans to join stock marketas investors fret about Brexit","604 words","MailOnline","MARKETS",
"By Mikey Smith","October 27, 2016 Thursday 12:23 PM GMT",,"Brexit means Breakfast: John McDonnell fumbles words as he warns Tories want to make UK a tax haven; The Shadow Chancellor confused leaving the EU with a morning meal three times","604 words","mirror.co.uk","NEWS,UK NEWS",
,"October 26, 2016 Wednesday",,"Heathrow expansion and the link to Brexit; Letters to the Editor","604 words","The Times (London)","LETTERS; Pg. 30",
"Zlata Rodionova","October 20, 2016 Thursday 3:05 PM GMT",,"Brexit: British company moves HQ to Europe after 122 years of trading in UK, says it 'can't afford to wait' for Article 50; Another concern for the company is the uncertainty surrounding its workforce as it employs over a dozen European staff","604 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Editorial","October 20, 2016 Thursday 12:23 AM GMT",,"A parliamentary vote at the end of the Brexit talks is not good enough; A range of MPs and peers are preparing to hold the Government to account as it negotiates to leave the European Union","604 words","The Independent (United Kingdom)","EDITORIALS",
"Zlata Rodionova","October 20, 2016 Thursday 3:05 PM GMT",,"Brexit: British company moves to Europe after 122 years of trading in UK, says it 'can't afford to wait' for Article 50; Another concern for the company is the uncertainty surrounding its workforce as it employs over a dozen European staff","603 words","The Independent (United Kingdom)","BUSINESS NEWS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 28, 2016 Friday 1:19 PM GMT",,"'Voters might change their mind!' Tony Blair lays out his plans to hold a second EU referendum to reverse the Brexit 'catastrophe'","602 words","MailOnline","NEWS",
"Steven Swinford","October 31, 2016 Monday",,"Fishing quotas scrapped after Brexit; Hundreds of thousands of tons more fish can be caught after 'unfair' rules overhauled ; Fishing quotas face post-Brexit overhaul","600 words","The Daily Telegraph (London)","NEWS; Pg. 1,4",
"BY JASON GROVES DEPUTY POLITICAL EDITOR","October 27, 2016 Thursday",,"BREXIT WON'T HARM BRITAIN, ADMITS WORLD TRADE CHIEF","600 words","DAILY MAIL (London)",,
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","October 26, 2016 Wednesday 4:14 PM GMT",,"Now Baldrick does Brexit! Theresa May is offered help by Blackadder star after Jeremy Corbyn jibes that she needs a 'cunning plan'","600 words","MailOnline","NEWS",
,"October 22, 2016 Saturday",,"MAY AND DAVIS TELL EU OUR POST-BREXIT PLAN","6 words","Daily Mirror","FEATURES; OPINION COLUMN; Pg. 15",
"Zoie O'Brien","October 31, 2016 Monday 8:00 AM GMT",,"Northern Ireland plans to negotiate separate EU trade deal after Brexit","599 words","Express Online",,
"Nick Fletcher","October 28, 2016 Friday 9:40 AM GMT",,"FTSE falls back but Imperial Brands and BAT higher; Lower down the market, Unite falls on fears of Brexit hit to student numbers","599 words","The Guardian","BUSINESS",
"By Steven Swinford, Deputy Political Editor","October 24, 2016 Monday 1:50 PM GMT",,"Theresa May warns Nicola Sturgeon against 'undermining' Brexit as No 10 summit descends into acrimony","598 words","telegraph.co.uk","NEWS",
"By Laura Hughes, Political Correspondent","October 26, 2016 Wednesday 4:18 PM GMT",,"Lib Dem 'Brexit referendum' candidate for Richmond says people must 'accept' referendum vote","597 words","telegraph.co.uk","NEWS",
"Rob Merrick","October 20, 2016 Thursday 12:18 AM GMT",,"Theresa May to tell EU leaders there will be no U-turn on Brexit; At her first European Council summit, the Prime Minister will seek off to kill off chatter that a second referendum 'might be still a possibility'","597 words","The Independent (United Kingdom)","UK POLITICS",
"Vickiie Oliphant","October 25, 2016 Tuesday 3:38 PM GMT",,"Morrissey praises Brexit as 'MAGNIFICENT' and hits out BBC for not accepting result","596 words","Express Online",,
"DAILY MAIL COMMENT","October 31, 2016 Monday 1:08 AM GMT",,"DAILY MAIL COMMENT: Don't blame Brexit for fleecing shoppers","594 words","MailOnline","RIGHTMINDS",
"Zlata Rodionova","October 27, 2016 Thursday 2:35 PM GMT",,"GDP figures are better than expected but Brexit hasn't happened yet, experts point out; Economists are predicting growth will slow in 2017as rising inflation and weak earnings are expected to reduce consumer spending power","594 words","The Independent (United Kingdom)","BUSINESS NEWS",
"JAMES MOORE","October 26, 2016 Wednesday",,"Hornby prices chug higher as Brexit obstructs tracks","594 words","The Independent - Daily Edition","BUSINESS; Pg. 48",
"Rob Merrick","October 27, 2016 Thursday 5:37 PM GMT",,"Brexit: Minister refuses six times to say how Government managed to persuade Nissan to build new cars in Sunderland; Greg Clark, the Business Secretary, is under pressure to reveal the bill to keep foreign carmakers in Britain - after the triumph of the Nissan announcement","591 words","The Independent (United Kingdom)","UK POLITICS",
"Geoff Ho","October 23, 2016 Sunday 12:00 AM GMT",,"First post-Brexit vote figures show economy slowing","591 words","Express Online",,
"Macer Hall","October 21, 2016 Friday 8:37 PM GMT",,"EU summit: Theresa May tells European leaders to 'GROW UP' and accept Brexit","591 words","Express Online",,
"By Jack Blanchard","October 20, 2016 Thursday 9:43 PM GMT",,"EU leaders lay into Britain over Brexit as Theresa May attends her first summit; PM told in no uncertain terms that Britain can not end the free movement of people and maintain access to the single market","590 words","mirror.co.uk","NEWS,UK NEWS",
"Editorial","October 29, 2016 Saturday 5:05 PM GMT",,"Democratic oversight of Brexit is not an attempt to frustrate the will of the British people, Theresa May; Those who are opposed to a hard Brexit need to make sure that they are not painted into the corner of appearing to stand against the referendum result","589 words","The Independent (United Kingdom)","EDITORIALS",
"Rehema Figueiredo","October 28, 2016 Friday 4:00 PM GMT",,"Black Friday binge begins TODAY: Bumper post-Brexit sales expected to rake in BILLIONS","589 words","Express Online",,
"Michael Savage","October 24, 2016 Monday",,"Hard Brexit would cost the EU £8bn a year more than Britain","588 words","The Times (London)","NEWS; Pg. 8,9",
"EDITORIAL","October 30, 2016 Sunday",,"The people should have a say on the terms of Brexit","587 words","The Independent - Daily Edition","NEWS; Pg. 2",
"Cyrus Engineer","October 29, 2016 Saturday 2:47 PM GMT",,"Farage fires back at Blair: Ex-PM's calls to reverse Brexit leaves Ukip chief FURIOUS","585 words","Express Online",,
,"October 22, 2016 Saturday",,"The truth about Brexit is really not that ugly; Letters to the Editor","585 words","The Times (London)","LETTERS; Pg. 30",
"BY HUGO DUNCAN AND JAMES BURTON","October 22, 2016 Saturday",,"SO MUCH FOR BREXIT BLUES: UK TOBACCO GIANT IN £38BN BID TO BUY ITS US RIVAL","584 words","DAILY MAIL (London)",,
"Nick Gutteridge","October 31, 2016 Monday 2:18 PM GMT",,"Even LABOUR'S Brexit chief says EU free movement MUST end in Corbyn revolt","583 words","Express Online",,
"Joe Barnes, exclusive","October 31, 2016 Monday 5:56 PM GMT",,"'An EU federalist of the worst kind' MEP slams Martin Schulz over UK's Brexit treatment","582 words","Express Online",,
"By Tim Wallace","October 22, 2016 Saturday 5:30 PM GMT",,"UK economy to grow even faster this year than was forecast before the Brexit vote","582 words","telegraph.co.uk","BUSINESS",
"Greg Heffer, Political Reporter","October 27, 2016 Thursday 11:49 AM GMT",,"Leading Tory MP calls on Theresa May to end bid to 'micro-manage' Brexit","580 words","Express Online",,
,"November 1, 2016 Tuesday",,"House price growth 'will be subdued by Brexit'; BUSINESS BULLETIN","58 words","The Daily Telegraph (London)","BUSINESS; Pg. 7",
,"October 29, 2016 Saturday",,"Gym throws in towel after Brexit; IN BRIEF","58 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"By Arj Singh","October 28, 2016 Friday 9:52 AM GMT",,"Tony Blair tells Remain voters to 'mobilise' against Brexit; The ex-PM said ""we're the insurgents now  urging them to persuade Brexit supporters we're better off staying in""","579 words","mirror.co.uk","NEWS,UK NEWS",
"Samuel Osborne","October 23, 2016 Sunday 8:15 AM GMT",,"Brexit: Leading banks 'planning to leave UK early next year'; Their hands are quivering over the relocate button' head of British Bankers' Association warns","579 words","The Independent (United Kingdom)","UK POLITICS",
"Phillip Inman Economics correspondent","October 27, 2016 Thursday 12:01 AM GMT",,"Maternity leave should be extended at cost of £2.1bn, says CBI; Business lobby group calls on chancellor to spend extra £11.5bn in autumn statement to stimulate post-Brexit vote growth","577 words","The Guardian","UK NEWS",
"Lana Clements","October 25, 2016 Tuesday 3:56 PM GMT",,"Mark Carney gives pound boost as he says market gloom surrounding Brexit 'may be mistaken'","577 words","Express Online",,
"Ambrose Evans-Pritchard","October 25, 2016 Tuesday",,"Sweden urges friendly deal with Britain; Swedish companies 'fear trade barriers' after Brexit","575 words","The Daily Telegraph (London)","BUSINESS; Pg. 1,3",
"Rob Merrick","October 20, 2016 Thursday 11:37 AM GMT",,"Brexit: David Davis agrees that businesses face 'cliff edge' threat if no EU trade deal is struck by 2019; The Secretary of State of Exiting the European Union acknowledged the danger if companies are forced to 'fall back on World Trade Organisationrules'","575 words","The Independent (United Kingdom)","UK POLITICS",
"Nick Gutteridge","November 1, 2016 Tuesday 9:06 AM GMT",,"Polish truckers leaving UK because their wages aren't worth as much back home after Brexit","574 words","Express Online",,
"Rob Merrick","October 27, 2016 Thursday 12:21 AM GMT",,"Theresa May is planning a 'Bankers' Brexit' which will ignore manufacturers, Labour says; Shadow Chancellor John McDonnell will accuse the Prime Minister of focussing on 'sweetheart' deals for the City of London","574 words","The Independent (United Kingdom)","UK POLITICS",
"Geoff Ho","October 23, 2016 Sunday 12:01 AM GMT",,"Post-Brexit vote figures show Britain's economy slowing","574 words","Express Online",,
"Vickiie Oliphant","October 26, 2016 Wednesday 8:04 PM GMT",,"'Get on with it' Lord Digby Jones' impassioned plea to Remoaners to stop blaming Brexit","573 words","Express Online",,
"JAMES SALMON AND JAMES BURTON FOR DAILY MAIL","October 29, 2016 Saturday 12:43 AM GMT",,"Apple 'uses Brexit as an excuse' to raise its prices by £500: Technology giant is accused of using EU referendum to squeeze more money out of British customers","572 words","MailOnline","NEWS",
"Jill Treanor and Graeme Wearden","October 20, 2016 Thursday 7:52 PM GMT",,"European banks warn against political 'intrusion'; Central bankers stress independent role as Bundesbank official plays down impact of Brexit vote on finances","572 words","The Guardian","BUSINESS",
"Joe Barnes","October 27, 2016 Thursday 10:20 AM GMT",,"Shadow chancellor warns 'bankers Brexit' will mean we STILL pay into the EU","571 words","Express Online",,
"FIONA PARKER","October 25, 2016 Tuesday",,"Brexit still has us all bitterly divided","571 words","Daily Mirror","FEATURES; Pg. 42",
,"October 25, 2016",,"Brexit a boost for Irish life sciences; From the business pages The Irish Times","57 words","i-Independent Print Ltd","NEWS; Pg. 41",
"BY JAMES BURTON AND JACK DOYLE","October 31, 2016 Monday",,"TYPHOO SET TO RAISE THE COST OF A CUPPA ... AND, YOU'VE GUESSED IT, THE BOSS IS BLAMING BREXIT!","568 words","DAILY MAIL (London)",,
"CHRISTOPHER BOOKER","October 23, 2016",,"The only way to Brexit that fits the PM's bill","568 words","The Sunday Telegraph (London)","FEATURES; REVIEW; Pg. 20",
"Jill Treanor","October 20, 2016 Thursday 1:47 PM GMT",,"City of London weighs up regional visa system to avoid post-Brexit staff gaps; Local authority debates merits of Australian and Canadian visa system in bid to retain and attract skilled workers","568 words","The Guardian","BUSINESS",
"Sam Lister","October 21, 2016",,"Britain's hard Brexit will mean hard negotiations, Hollande warns May; EUROPE","567 words","i-Independent Print Ltd","NEWS; Pg. 10",
"By Laura Donnelly, Health Editor","October 21, 2016 Friday 5:01 AM GMT",,"Four in 10 new nurses are from overseas, amid warnings NHS faces 'perfect storm' post-Brexit","566 words","telegraph.co.uk","NEWS",
"By David Millward","October 27, 2016 Thursday 8:31 AM GMT",,"Will UK travellers be able to claim compensation for flight delays after Brexit?","565 words","telegraph.co.uk","TRAVEL",
"Lizzie Stromme","October 31, 2016 Monday 7:48 AM GMT",,"Helen Mirren ludicrously claims Brexit is a blow to HUMANITY and people voted out of fear","564 words","Express Online",,
"Archie Bland","October 24, 2016 Monday 12:25 PM GMT",,"This anglo-centric government is putting the union at risk over Brexit; Theresa May seems unwilling to make concessions to the leaders of Scotland, Wales and Northern Ireland - even if it leads to a British constitutional crisis","562 words","The Guardian","OPINION",
"TOM PECK","October 20, 2016 Thursday",,"Parliament should vote on Brexit before Article 50 is triggered, peers warn","562 words","The Independent - Daily Edition","NEWS; Pg. 7",
"Patrick Christys","October 24, 2016 Monday 11:52 AM GMT",,"'It's not on the table' May to snub Sturgeon's demands for bespoke Scottish Brexit deal","561 words","Express Online",,
"By Dan Bloom","October 21, 2016 Friday 4:01 AM GMT",,"Tory majority slashed in David Cameron's Witney seat as Lib Dems win biggest by-election swing for 20 years; Conservative barrister Robert Courts held the ultra-safe seat - but lost a gigantic swing to Tim Farron's party amid Brexit fears","561 words","mirror.co.uk","NEWS,UK NEWS",
"Rehema Figueiredo","October 22, 2016 Saturday 12:00 AM GMT",,"Forget hard Brexit, it's DIRTY Brexit as EU vows to make UK divorce as nasty as possible","560 words","Express Online",,
"Peter Walker Political correspondent","October 20, 2016 Thursday 8:56 AM GMT",,"Hilary Benn: I won't try to obstruct Britain's exit from the EU; Chair of MPs' committee scrutinising Brexit says it will push government to 'minimise uncertainty' and so limit economic impact","560 words","The Guardian","POLITICS",
"Joe","October 28, 2016 Friday 10:32 AM GMT",,"Brexit legal challenge dismissed: Northern Ireland case against EU withdrawal will not be heard","56 words","The Independent (United Kingdom)","UK POLITICS",
"Ben Chu","October 26, 2016 Wednesday 1:57 PM GMT",,"Brexit latest: CBI urges Philip Hammond to borrow to increase infrastructure spending; The business lobby group says the Government should raise public sector net investmentto2 per cent of GDP, rather than the 1.7 per cent in the existing forecasts","557 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Alex Duval Smith in Warsaw","October 20, 2016 Thursday 7:00 AM GMT",,"'The only problem is the weather': Poles eye up Ireland after Brexit vote; Country is becoming increasingly popular destination as atmosphere in Britain turns darker following EU referendum","556 words","The Guardian","WORLD NEWS",
"Vickiie Oliphant","October 31, 2016 Monday 12:09 PM GMT",,"Cost of a cuppa to rise! Typhoo ups price of tea and firm blames BREXIT for hike","555 words","Express Online",,
"Cyrus Engineer","October 30, 2016 Sunday 9:22 AM GMT",,"STOP rocking the Brexit boat! Leave campaigner calls for europhiles to quit knocking UK","554 words","Express Online",,
"Macer Hall","October 28, 2016 Friday",,"PROOF BRITAIN'S; BOOMING AFTER EU VOTE Economy drives ahead after Brexit vote","554 words","The Express","NEWS; Pg. 1,4,5",
"JOE WATTS POLITICAL EDITOR","October 25, 2016 Tuesday",,"Lords 'won't block Brexit', says Labour's leading peer","554 words","The Independent - Daily Edition","NEWS; Pg. 8",
"Ben Kentish","October 23, 2016 Sunday 8:34 PM GMT",,"Government 'may have to slash corporation tax' to put pressure on EU in Brexit negotiations; Ministers are reportedlypreparing tax reductionsas part of plan to put pressure on the EU","554 words","The Independent (United Kingdom)","UK POLITICS",
"Tom Martin","October 27, 2016 Thursday 7:10 PM GMT",,"Sturgeon claims it took 36 HOURS to get a response from David Davis on Brexit 'hotline'","553 words","Express Online",,
"MARK SHAPLAND FOR THIS IS MONEY","October 27, 2016 Thursday 11:22 AM GMT",,"Software group Misys scraps London IPO plans, joining long list of firms which have ditched floats post-Brexit","553 words","MailOnline","MARKETS",
"Caroline Wheeler","October 23, 2016 Sunday 12:01 AM GMT",,"'Remoaner' BBC needs to stop booing Brexit, says Tory grandee John Redwood","551 words","Express Online",,
"Hamish Macdonell","October 31, 2016 Monday",,"Brexit makes me question union, says McGregor","550 words","The Times (London)","NEWS; Pg. 5",
"By Mark Ellis","October 27, 2016 Thursday 11:44 AM GMT",,"Nissan confirms it will build next Qashqai SUV at Sunderland plant securing 7,000 jobs in Brexit boost; Nissan decision to build next Qashqai at its Sunderland plant is described as ""fantastic news for the UK"" by prime minister Theresa May in major Brexit boost","550 words","mirror.co.uk","NEWS",
"Hamish Macdonell ; Georgie Keate","October 24, 2016 Monday",,"May promises to give the Scots a say in Brexit talks","550 words","The Times (London)","NEWS; Pg. 2",
,"October 21, 2016 Friday 5:18 PM GMT",,"EU's top Brexit negotiator sparks tensions by demanding talks are conducted in FRENCH","550 words","Express Online",,
,"November 1, 2016 Tuesday",,"Brexit hurts engineering","55 words","Daily Mirror","NEWS; Pg. 2",
,"October 27, 2016 Thursday",,"Independence threat 'a bigger risk than Brexit'; NEWS BRIEFING ; NEWS","55 words","The Daily Telegraph (London)","NEWS; Pg. 1",
"Katie Mansfield","November 1, 2016 Tuesday 1:43 PM GMT",,"CRACKING TRADE: British farmers celebrate eggs sales boom after Brexit","549 words","Express Online",,
"JAMES BURTON BANKING CORRESPONDENT FOR THE DAILY MAIL","October 25, 2016 Tuesday 5:26 PM GMT",,"Britain is the most business-friendly major economy, World Bank rules as its annual index casts fresh doubt on doom-laden Brexit warnings","549 words","MailOnline","NEWS",
"Jon Henley","October 21, 2016 Friday 3:57 PM GMT",,"Le Brexit: a linguistic guide for Theresa May; A handy guide for the British PM and her team as they prepare to start conducting Brexit negotiations - in French","549 words","The Guardian","POLITICS",
"Rob Merrick","October 21, 2016 Friday 10:20 AM GMT",,"EU leaders make Theresa May wait until 1am to give five-minute Brexit speech, before ignoring her; PMreportedly made to wait until 'long after the waiters were waiting to clear the dishes away' at the council dinner in Brussels","549 words","The Independent (United Kingdom)","UK POLITICS",
"JAMES BURTON FOR THE DAILY MAIL","October 20, 2016 Thursday 5:51 PM GMT",,"Paris begins offensive to woo City giants: French officials seeking to hurt Britain's financial industry after Brexit","549 words","MailOnline","MARKETS",
"Joe Watts","October 28, 2016 Friday 10:33 AM GMT",,"Brexit: Tony Blair says there must be a second vote on UK's membership of EU; 'If it becomes clear that this is either a deal that doesn't make it worth our while leaving or alternatively, a deal that is going to be so serious in its implications, people may decide that they don't want to go,' says former PM","548 words","The Independent (United Kingdom)","UK POLITICS",
"By Jack Blanchard","October 21, 2016 Friday 11:25 PM GMT",,"Brexit battle for Theresa May as EU officials threaten to negotiate solely in FRENCH; The PM snorted when told at a press conference that the EU could refuse to conduct the looming Brexit negotiations in English","548 words","mirror.co.uk","NEWS,UK NEWS",
"By Tim Wallace and Alan Tovey","October 27, 2016 Thursday 11:20 AM GMT",,"Nissan to build new cars in Sunderland as it rejects Brexit doubts","546 words","telegraph.co.uk","BUSINESS",
"MARK SHAPLAND FOR THIS IS MONEY","October 20, 2016 Thursday 10:46 AM GMT",,"Warm September weather hits clothing sales but shoppers show no sign of Brexit blues","543 words","MailOnline","MARKETS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 30, 2016 Sunday 4:53 PM GMT",,"EU finally signs free trade deal with Canada after SEVEN YEARS of talks in move that boosts hopes for Britain's free trade future after Brexit","542 words","MailOnline","NEWS",
"By Jason Beattie","October 24, 2016 Monday 12:00 AM GMT",,"Scotland, Wales and Northern Ireland set for showdown with Theresa May over Brexit; Nicola Sturgeon, Carwyn Joness and Arlene Foster will meet Mrs May in Downing Street to discuss their concerns about leaving the EU","542 words","mirror.co.uk","NEWS,UK NEWS",
"By Michael Deacon, Parliamentary Sketchwriter","October 27, 2016 Thursday 12:29 PM GMT",,"Labour's John McDonnell mixes up 'Brexit' and 'breakfast'... THREE times in the same speech","540 words","telegraph.co.uk","NEWS",
"Phillip Inman Economics correspondent","October 24, 2016 Monday 1:21 PM GMT",,"Manufacturers feel falling pound is bad despite increasing their exports; Manufacturing exporters in CBI survey say Brexit uncertainty is undermining confidence and 15% expect to cut jobs","540 words","The Guardian","BUSINESS",
"ZLATA RODIONOVA","October 21, 2016 Friday",,"After 122 years of trading, UK company goes Dutch over hard Brexit fears","540 words","The Independent - Daily Edition","BUSINESS; Pg. 51",
"Lana Clements","October 27, 2016 Thursday 9:25 AM GMT",,"STRONG BRITAIN: Pound rallies as economy GROWS 0.5% post-Brexit proving fear-mongers WRONG","539 words","Express Online",,
"By Tim Wallace","October 27, 2016 Thursday 9:13 AM GMT",,"UK economy grows 0.5pc in the wake of Brexit vote, defying recession fears","539 words","telegraph.co.uk","BUSINESS",
"Charlie Peat","October 27, 2016 Thursday 6:12 AM GMT",,"Number of EU students applying for UK universities FALLS just months after Brexit vote","538 words","Express Online",,
"Zoie O'Brien","October 24, 2016 Monday 3:51 PM GMT",,"BREAKING: Theresa May vows to deliver tough Brexit which will NOT damage EU links","536 words","Express Online",,
"Stephen O'Brien","October 23, 2016 Sunday",,"Kenny in bid to woo Citi from Brexit Britain","536 words","The Sunday Times (London)","NEWS; Pg. 2",
"KEILIGH BAKER FOR MAILONLINE","October 21, 2016 Friday 9:18 AM GMT",,"Have a break, have a Brexit! Swiss firm Nestle threatens to raise the price of a Kit Kat and other family favourites because the plunging pound is hitting profits","534 words","MailOnline","NEWS",
"ROB MERRICK DEPUTY POLITICAL EDITOR","October 28, 2016 Friday",,"Business Secretary refuses to reveal if post-Brexit deal was struck with Nissan","533 words","The Independent - Daily Edition","BUSINESS; Pg. 56",
"MARK SHAPLAND FOR THIS IS MONEY","October 26, 2016 Wednesday 11:01 AM GMT",,"Spain's Santander bemoans Brexit as UK earnings slow, but Metro Bank powers ahead and posts its first profit","533 words","MailOnline","MARKETS",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","October 23, 2016 Sunday 4:32 PM GMT",,"Quitting the EU could take so long we will need a transition plan, Hilary Benn warns in his powerful new role running the Commons Brexit committee","533 words","MailOnline","NEWS",
"JOHN RENTOUL","October 22, 2016 Saturday",,"The Lib Dems fight back in Witney wasn't because of their anti-Brexit stance","532 words","The Independent - Daily Edition","COMMENT; Pg. 33",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 28, 2016 Friday 11:53 AM GMT",,"First legal challenge to Brexit is dismissed as judge rejects claims that Northern Ireland should have a veto on quitting the EU","530 words","MailOnline","NEWS",
"Joey Millar","October 26, 2016 Wednesday 11:48 AM GMT",,"PMQ's LIVE: 'We're the ones listening to the people!' May berates Corbyn in Brexit clash","528 words","Express Online",,
"Peter Dominiczak ; Peter Foster","October 22, 2016 Saturday",,"The EU is 'impossible': Canada walks out of trade talks; Road to Brexit Minister furious after intransigence of tiny Belgian region takes deal close to collapse Theresa May's first 100 days","528 words","The Daily Telegraph (London)","NEWS; Pg. 4,5",
"Zoie O'Brien","October 31, 2016 Monday 10:07 AM GMT",,"Big pharmaceutical business to pile pressure on Government over Brexit trade","527 words","Express Online",,
"Alison Little","October 24, 2016 Monday 6:48 PM GMT",,"Theresa May promises Nicola Sturgeon Brexit deals will serve the whole of UK","527 words","Express Online",,
,"October 31, 2016 Monday 12:01 AM GMT",,"Britain must push for a hard Brexit as soon as possible","526 words","Express Online",,
"MAIL ON SUNDAY COMMENT","October 23, 2016 Sunday 1:48 AM GMT",,"MAIL ON SUNDAY COMMENT: Brussels will make Brexit a brutal battle","526 words","MailOnline","RIGHTMINDS",
"By Jason Beattie","October 20, 2016 Thursday 12:00 AM GMT",,"Philip Hammond pushes for 'soft Brexit' as he admits deep divisions in Tory Cabinet over Europe; The Chancellor has found himself at odds with colleagues wanting a hard Brexit which would see full control of our borders and leaving the single market","526 words","mirror.co.uk","NEWS,UK NEWS",
"JACK DOYLE AND RACHEL WATSON FOR THE DAILY MAIL","October 30, 2016 Sunday 11:56 PM GMT",,"Independence is 'biggest risk for Scotland': Leaving the UK would be far more damaging to the nation's finance sector than Brexit","524 words","MailOnline","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","October 21, 2016 Friday 1:07 PM GMT",,"Mais non! PM slaps down EU's Brexit chief after he signals he wants UK officials to speak FRENCH during negotiations","524 words","MailOnline","NEWS",
"Joe Barnes","October 27, 2016 Thursday 3:00 PM GMT",,"Michael Gove mocks Remoaners for not accepting Brexit with 'good grace'","523 words","Express Online",,
"Lizzie Stromme","October 27, 2016 Thursday 12:21 PM GMT",,"'The country NEEDS migrants' Furious LBC caller savages May over her Brexit plans","522 words","Express Online",,
,"October 28, 2016 Friday 12:00 AM GMT",,"Judge to rule on first court challenge to Brexit","521 words","Express Online",,
"Graeme Paton","October 24, 2016 Monday",,"Hard Brexit 'will cut air passengers by 19m'","521 words","The Times (London)","NEWS; Pg. 40",
"Cyrus Engineer","October 30, 2016 Sunday 11:42 AM GMT",,"Nick Clegg backs Blair as he throws support behind Remain insurgency against Brexit","520 words","Express Online",,
"RACHAEL REVESZ","October 23, 2016 Sunday",,"If Brexit can happen, so can a Donald Trump presidency","520 words","The Independent - Daily Edition","COMMENT; Pg. 28",
"Rehema Figueiredo","October 21, 2016 Friday 8:39 AM GMT",,"Brexit means Brexit Theresa May tells EU summit","520 words","Express Online",,
