"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"Alison Little","November 22, 2016 Tuesday 9:22 PM GMT",,"Talks for UK to exit EU off to a 'good start', says Brexit Secretary David Davis","318 words","Express Online",,
"DAVID WOODING","November 20, 2016 Sunday",,"Beeb EU chief on Geldof's 'In' boat; BIAS AT THE BBC ; HE HEADS BREXIT SHOW","318 words","The Sun (England)","NEWS; Pg. 11",
"Ben Chapman","November 17, 2016 Thursday 9:12 AM GMT",,"Brexit: collapsing pound is about to make wine more expensive, Majestic boss warns; The industry is battling against the collapsing pound but 'simply a matter of time' before prices increase","318 words","The Independent (United Kingdom)","BUSINESS NEWS",
,"November 14, 2016 Monday",,"Let's name MPs blocking Brexit; letters The page where you tell Scotland what you think @the-sun.co.uk Scottish Sun","318 words","The Sun (England)","LETTERS; Pg. 39",
"Katherine Griffiths","November 25, 2016 Friday",,"'Sell RBS at a loss to ease Brexit pain'","319 words","The Times (London)","BUSINESS; Pg. 59",
"By Sophie Curtis","November 15, 2016 Tuesday 7:18 PM GMT",,"Google to create 3,000 jobs in UK with expansion of London office; What Brexit? Britain's decision to leave the EU hasn't deterred Google from investing in the capital","319 words","mirror.co.uk","TECHNOLOGY",
"By Mary Riddell","November 25, 2016 Friday 10:00 AM GMT",,"Ed Balls: 'If Theresa May asked me to help Brexit work, I'd do it'","3190 words","telegraph.co.uk","MEN",
"Jon Stone","November 23, 2016 Wednesday 6:08 PM GMT",,"Theresa May left us 'none the wiser' about what Brexit actually means, OBR says; The Government's fiscal watchdog said there was 'considerableuncertainty'","320 words","The Independent (United Kingdom)","UK POLITICS",
"By Jack Blanchard","November 17, 2016 Thursday 11:04 PM GMT",,"Brexit set to cost UK £100billion as half of voters think economy will get worse over next 12 months; Voter confidence in the economy has plummeted with just 26% of those surveyed believing the country will see growth","320 words","mirror.co.uk","NEWS,UK NEWS",
"Jon Stone","November 16, 2016 Wednesday 12:42 PM GMT",,"Theresa May refuses to say she will defend judges from press attacks ahead of Brexit judgment; The PMcited 'freedom of the press' after the Daily Mail branded judges 'enemies of the people'","320 words","The Independent (United Kingdom)","UK POLITICS",
"Sean Farrell","November 14, 2016 Monday 11:55 AM GMT",,"Taylor Wimpey: housing demand still strong after Brexit vote; UK's third-biggest housebuilder says that sales and cancellations have barely changed from a year ago","320 words","The Guardian","BUSINESS",
"Rebecca Perring","November 15, 2016 Tuesday 6:05 PM GMT",,"Bitter EU bosses plot to oust Brits from top jobs in wake of Brexit","321 words","Express Online",,
"Ben Riley-Smith","November 20, 2016",,"'We won the war - of course civil service can do Brexit'","322 words","The Sunday Telegraph (London)","NEWS; Pg. 7",
"Jack de Menezes","November 17, 2016 Thursday 12:21 PM GMT",,"Manchester United debt increases by nearly 20% to £338m after Brexit vote causes collapse in value of the pound; United have seen their debt increase by over £50m following the vote to leave the European Union and the failure to qualify for the Champions League","322 words","The Independent (United Kingdom)","PREMIER LEAGUE",
"Telegraph Reporter","November 14, 2016 Monday",,"RBS says hard Brexit fears may see banks quit the UK","322 words","The Daily Telegraph (London)","BUSINESS; Pg. 3",
"By Danielle Demetriou","November 24, 2016 Thursday 5:46 AM GMT",,"Tokyo shop's £1.4 million gold Christmas tree to 'brighten up Brexit gloom'","323 words","telegraph.co.uk","CHRISTMAS",
"Ben Chapman","November 14, 2016 Monday 10:58 AM GMT",,"Brexit causes British companies scrap investment plans worth £65.5bn; A third of businesses have abandoned plans to spend money due to the uncertain economic situation, research says","323 words","The Independent (United Kingdom)","BUSINESS NEWS",
"By Chuka Umunna","November 16, 2016 Wednesday 10:33 PM GMT",,"Rushing into Brexit would be a disaster - doing something right is more important than doing it quickly; Even the leader of the Leave campaign admits pulling Britain out of the EU after 40 years will be the most complex task our Government has faced since the Second World War","325 words","mirror.co.uk","NEWS,UK NEWS",
"RUKI SAYID","November 25, 2016 Friday",,"£1.3bn black buy day; 14 million bargain hunters splash record cash as they brace for Brexit","326 words","Daily Mirror","FEATURES; Pg. 26,27",
"Alan Cochrane","November 17, 2016 Thursday",,"The SNP is at a loss over how to deal with Brexit; Commentary","326 words","The Daily Telegraph (London)","NEWS; Pg. 5",
,"November 23, 2016 Wednesday",,"Banish traitor Blair from the Brexit table; Scottish Sun letters @the-sun.co.uk The page where you tell Scotland what you think","327 words","The Sun (England)","FEATURES; Pg. 46",
"Sean Farrell","November 20, 2016 Sunday 4:55 PM GMT",,"Brexit blues: weak pound pushes up guitar prices; US brands Gibson and Fender increase list prices as double digit hikes hit music stores","327 words","The Guardian","BUSINESS",
"BY VICTORIA IBITOYE","November 16, 2016 Wednesday",,"EASYJET'S PLAN FOR £10M BASE IN EUROPE FOR AFTER BREXIT","330 words","DAILY MAIL (London)",,
"Katie Mansfield","November 23, 2016 Wednesday 11:13 AM GMT",,"Brexit protesters campaign outside Parliament over High Court ruling","331 words","Express Online",,
"By Laura Hughes, Political Correspondent","November 25, 2016 Friday 1:01 PM GMT",,"Germany needs post-Brexit trade deal with Britain to minimise own economy fallout, minister warns","332 words","telegraph.co.uk","NEWS",
"Andrew Woodcock","November 15, 2016 Tuesday 10:02 AM GMT",,"Pressure group urges Theresa May to let UK nationals remain EU citizens after Brexit; The European Movement UK argues it would be unprecedented for Britons to be stripped of their EU citizenship against their will","332 words","The Independent (United Kingdom)","UK POLITICS",
"Ashley Cowburn","November 24, 2016 Thursday 12:49 PM GMT",,"Tony Blair rules out return to frontline politics because media would 'move to destroy mode'; The former Prime Minister also repeated his assertion that Brexit can be stopped 'if the British people decide that'","334 words","The Independent (United Kingdom)","UK POLITICS",
"Brexit and Trump","November 20, 2016 Sunday",,"Justin Barrett; Newsmaker A Youth Defence veteran inspired to form far-right party by Brexit and Trump","334 words","The Sunday Times (London)","FEATURES; Pg. 22",
,"November 16, 2016 Wednesday 11:29 AM GMT",,"PMQs: Theresa May could face grilling on Brexit, Donald Trump and social mobility","334 words","Express Online",,
"Suzie Neuwirth","November 21, 2016",,"Brexit has not reduced spending on innovation; INDUSTRY","335 words","i-Independent Print Ltd","NEWS; Pg. 43",
"Rowena Mason Deputy political editor","November 15, 2016 Tuesday 12:32 AM GMT",,"Whitehall 'struggling to cope with scale of work arising from Brexit vote'; Report on leaked Cabinet Office memo says departments are overwhelmed with work related to leaving the EU and ministers are split over strategy","335 words","The Guardian","POLITICS",
"Zoe Efstathiou","November 21, 2016 Monday 5:27 AM GMT",,"Black Friday discounts will be 'BETTER THAN EVER' thanks to Brexit bounce","336 words","Express Online",,
"JUDGE RINDER","November 18, 2016 Friday",,"BREXIT JUDGES RIGHT ON LAW","336 words","The Sun (England)","FEATURES; Pg. 40",
"By Peter Dominiczak, Political Editor","November 15, 2016 Tuesday 1:00 AM GMT",,"Brexit plan is 'months away' as civil service needs 30,000 extra staff to cope with workload, according to leaked memo","337 words","telegraph.co.uk","NEWS",
"By Laura Hughes, Political Correspondent","November 24, 2016 Thursday 8:41 AM GMT",,"There is ""more uncertainty than ever before"" about the OBR's gloomy Brexit warnings, IFS says","3374 words","telegraph.co.uk","NEWS",
"By Dan Bloom","November 20, 2016 Sunday 5:31 PM GMT",,"Furious Boris Johnson blasts 'total lie' that he took WRONG notes to No10 Brexit meeting; The bumbling Tory is said to have prompted ""groans of disapproval"" in Downing Street","338 words","mirror.co.uk","NEWS,UK NEWS",
"AMIE GORDON FOR MAILONLINE","November 19, 2016 Saturday 11:38 AM GMT",,"'First Brexit, then Trump and there is more of this to come!': Nigel Farage says 'poor darlings' Merkel and Obama are in denial over the public's rejection of the political establishment","338 words","MailOnline","NEWS",
"Ben Woods","November 15, 2016",,"Brexit vote having little impact on Taylor Wimpey; CONSTRUCTION","338 words","i-Independent Print Ltd","NEWS; Pg. 41",
"Letters","November 14, 2016 Monday 7:35 PM GMT",,"Confusing world of Brexit and Trump; Liberalism and Trump | Brexit | Guarantees to Nissan | Global warming | Abel Gance's Napoleon | Letters masterclass","338 words","The Guardian","US NEWS",
"Alan Jones","November 21, 2016 Monday",,"Firms eye post-Brexit innovation; e-mail: city@express.co.uk Visit City & Business pages online at www.express.co.uk/city Tel: 0208 612 7156 City&Business","339 words","The Express","BUSINESS; Pg. 44",
"By Steven Swinford, Deputy Political Editor","November 18, 2016 Friday 1:16 PM GMT",,"Tory MP reveals Brexit death threats including Isil image of his teenage son being executed","339 words","telegraph.co.uk","NEWS",
"SEBASTIAN SHAKESPEARE FOR THE DAILY MAIL","November 14, 2016 Monday 12:20 AM GMT",,"Now Cameron rakes in £120,000 for one-hour talk: Former PM gives speech on the implications of Brexit to Wall Street financiers","339 words","MailOnline","RIGHTMINDS",
"Samuel Osborne","November 14, 2016 Monday 6:43 PM GMT",,"France will 'definitely' close UK border at Calais after Brexit, politician claims; Downing Street says it expects the border post to remain once Britain leaves the European Union","340 words","The Independent (United Kingdom)","EUROPE",
"CHRIS MUSSON","November 22, 2016 Tuesday",,"WE WANT TO PLAY IN CHAMPS LEAGUE; BID TO JOIN ELITE EURO TEAM ; Eck's Brexit mission","342 words","The Sun (England)","NEWS; Pg. 2",
"Lana Clements","November 19, 2016 Saturday 5:25 PM GMT",,"Banks want to stay in 'financial centre' London after Brexit","342 words","Express Online",,
"JACK BLANCHARD","November 18, 2016 Friday",,"UKIP 'misspent EU money on Farage election bid and Brexit'; Nigel & Co accused by watchdog","342 words","Daily Mirror","NEWS; Pg. 2",
"Steven Swinford","November 18, 2016 Friday",,"Britain could cut aid cash it sends to Brussels after Brexit","343 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"By Ed Malyon","November 17, 2016 Thursday 2:15 PM GMT",,"Explained: Why Brexit has seen Manchester United's debt rise - and how they could be further hit by leaving the EU; We spoke to a foreign exchange expert to ascertain how Brexit and its repercussions have stung the Old Trafford club","343 words","mirror.co.uk","SPORT,FOOTBALL,TRANSFER NEWS",
"Lana Clements","November 14, 2016 Monday 5:05 PM GMT",,"HOMEOWNER BOOST: Mortgage deals defy Brexit doom-mongers to fall to RECORD lows","343 words","Express Online",,
"Nigel Morris POLITICAL EDITOR","November 25, 2016",,"Economic watchdog criticised for 'doom and gloom' forecasts; BREXIT","344 words","i-Independent Print Ltd","NEWS; Pg. 6",
"JACK BLANCHARD","November 19, 2016 Saturday",,"PM: Brexit is on track and we do have a plan; Bid to reassure Merkel as fears grow of a shambles","344 words","Daily Mirror","FEATURES; Pg. 17",
"Ben Martin","November 24, 2016 Thursday",,"Bailout bill sent soaring by Brexit fallout; Banks","346 words","The Daily Telegraph (London)","AUTUMN STATEMENT;NEWS; Pg. 5",
"JOE WATTS POLITICAL EDITOR","November 22, 2016 Tuesday",,"Supreme Court judge on Brexit case to retire","346 words","The Independent - Daily Edition","NEWS; Pg. 7",
"Alexis Petridis","November 24, 2016 Thursday 6:13 PM GMT",,"Katy Perry and the great political pop realignment of 2016; Trump's victory and the Brexit vote may be causing dismay in cultural circles, but for some artists this but the rising of a brand new day","347 words","The Guardian","LIFE AND STYLE",
"Joe Watts","November 21, 2016 Monday 9:54 AM GMT",,"Millionaire Brexit campaigner reveals plan to 'drain the swamp' by scrapping MPs and Lords","347 words","The Independent (United Kingdom)","UK POLITICS",
"By Dan Bloom","November 18, 2016 Friday 12:26 PM GMT",,"Supreme Court Brexit case will hear from Scotland and Wales as nations win bid to fight their corner; The decision is a victory for pro-Remain Nicola Sturgeon, who vowed to stop Theresa May pushing through a damaging 'Hard Brexit'","347 words","mirror.co.uk","NEWS,UK NEWS",
"HenryBodkin","November 14, 2016 Monday",,"Call to use Brexit to curb antibiotic use on animals; Supermarket meat E.coli 'shows antibiotic use failing'","348 words","The Daily Telegraph (London)","NEWS; Pg. 1,2",
,"November 14, 2016 Monday 9:37 AM GMT",,"Taylor Wimpey hails 'resilient' trading in new homes after Brexit","348 words","Express Online",,
"Oli Smith","November 24, 2016 Thursday 9:01 PM GMT",,"'You're putting words in my mouth!' Leave MP CLASHES with Jo Coburn over Brexit planning","349 words","Express Online",,
"Joe Watts","November 22, 2016 Tuesday 2:49 PM GMT",,"Brexit minister David Davis: Parliament will have say on Article 50 despite Theresa May's appeal to Supreme Court","349 words","The Independent (United Kingdom)","UK POLITICS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 23, 2016 Wednesday 1:14 PM GMT",,"UK's economic growth over the next five years will be 2.4% LOWER than expected because of Brexit but there will be NO recession, official forecasts predict","350 words","MailOnline","NEWS",
"By Mikey Smith","November 25, 2016 Friday 9:53 AM GMT",,"No, Britain isn't going to have £32 billion extra to spend after Brexit; Michael Gove and pals have been doing some funny counting when trying to prove we'll be better off after we leave the EU","352 words","mirror.co.uk","NEWS,UK NEWS",
"Alison Little","November 21, 2016 Monday 5:37 PM GMT",,"'I respect British people' Polish president calls for EU to stop Brexit punishment talks","352 words","Express Online",,
"By Jack Blanchard","November 18, 2016 Friday 1:22 PM GMT",,"Theresa May insists Brexit work is 'on track' despite weeks of chaos; The Prime Minister defiantly said Article 50 WILL be invoked before April 2017 in a joint statement with German Chancellor Angela Merkel","352 words","mirror.co.uk","NEWS,UK NEWS",
"By Michael Wilkinson, Political Correspondent","November 21, 2016 Monday 7:59 AM GMT",,"Theresa May seeking transitional Brexit deal to avoid 'cliff edge'","3534 words","telegraph.co.uk","NEWS",
"Caroline Mortimer","November 24, 2016 Thursday 12:03 PM GMT",,"Nigel Farage vows to fight for the people's Brexit 'revolution' on a gold leaf staircase in Mayfair; Ukip leader claims there will be a 'seismic shock' in British politics in the next few years","356 words","The Independent (United Kingdom)","UK POLITICS",
"Rob Merrick","November 23, 2016 Wednesday 12:56 PM GMT",,"Brexit: Philip Hammond slashes UK growth as result of EU vote; Chancellor predicts that Britain will need to borrow a whoppingextra £122bn over six years - a 'black hole' opened up because of the uncertainty created by EU withdrawal","356 words","The Independent (United Kingdom)","UK POLITICS",
"By Ben Martin","November 16, 2016 Wednesday 1:34 PM GMT",,"Barclays boss: London's 'gravitational pull' on finance will not wane after Brexit","356 words","telegraph.co.uk","BUSINESS",
,"November 23, 2016 Wednesday 8:16 AM GMT",,"Your bank savings protected by an extra £10k - thanks to Brexit","357 words","Express Online",,
"By Sam Blewett","November 16, 2016 Wednesday 6:22 AM GMT",,"""Post-truth"" named Oxford Dictionaries' word of the year after a spike following Donald Trump and Brexit; Usage of the adjective - describing circumstances where emotions and personal beliefs are more influential than facts - increased by 2,000%","357 words","mirror.co.uk","NEWS,UK NEWS",
"By Tara Cunningham, Business Reporter and Harry Yorke","November 23, 2016 Wednesday 8:37 AM GMT",,"Autumn Statement 2016 live: Philip Hammond to ease cuts as watchdog reveals size of Brexit black hole","3576 words","telegraph.co.uk","BUSINESS",
"By Marion Dakers, Financial services editor","November 20, 2016 Sunday 8:41 PM GMT",,"Insurers call on MPs to help with foreign expansion post-Brexit","360 words","telegraph.co.uk","BUSINESS",
"Laura Mowat","November 22, 2016 Tuesday 2:40 PM GMT",,"BREXIT BOOST? Londoners still undergoing large number of boob jobs after EU vote","361 words","Express Online",,
"Leda Reynolds","November 21, 2016 Monday 3:01 PM GMT",,"Man tipped to be US ambassador to UK gives BRILLIANT swipe at EU in hint of Brexit deal","361 words","Express Online",,
"By Michael Wilkinson, Political Correspondent","November 15, 2016 Tuesday 8:38 AM GMT",,"Theresa May launches excoriating attack on Deloitte for 'touting for business' with leaked Brexit memo","3610 words","telegraph.co.uk","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 22, 2016 Tuesday 10:02 AM GMT",,"Top EU negotiator mocks David Davis for branding him 'Satan' ahead of meeting and he WON'T talk about Brexit terms","362 words","MailOnline","NEWS",
"By Mikey Smith","November 24, 2016 Thursday 9:22 AM GMT",,"Nigel Farage gloats at Ritz party hours after news Brexit will cost £60 billion - and now he's planning to emigrate; It was revealed yesterday that Brexit is likely to cost the UK economy £60 billion. And Nigel Farage grinned, gloated and reportedly plotted a move to America","364 words","mirror.co.uk","NEWS,UK NEWS",
"JACK BLANCHARD","November 25, 2016 Friday",,"BLAIR: I'M BACK AND WE CAN STOP BREXIT; Ex-Labour PM announces return to the political fray","365 words","Daily Mirror","NEWS; Pg. 14",
"BEN CHAPMAN","November 22, 2016 Tuesday",,"Consumers could bag biggest Black Friday deals ever after Brexit shock","365 words","The Independent - Daily Edition","NEWS; Pg. 24",
"Lana Clements","November 17, 2016 Thursday 11:52 AM GMT",,"Britain's BOOMING: Brexit economy scores HAT-TRICK of good news","365 words","Express Online",,
"Lana Clements","November 22, 2016 Tuesday 2:03 PM GMT",,"Brexit economy boost: Britain's borrowing slows amid surging tax income","366 words","Express Online",,
"Rehema Figueiredo","November 15, 2016 Tuesday 4:01 PM GMT",,"Barroso on Brexit: If Europe had listened to Britain UK wouldn't have voted Leave","366 words","Express Online",,
"By Natalie Evans","November 15, 2016 Tuesday 3:45 AM GMT",,"Theresa May addresses Trump and Brexit in Lord Mayor's banquet speech (but some guests couldn't stay awake); The Prime Minister described Trump's shock election victory and Britain's vote to leave the EU as proof that change is happening","367 words","mirror.co.uk","NEWS,UK NEWS",
"Zlata Rodionova","November 15, 2016 Tuesday 10:12 AM GMT",,"Brexit's hammering of the pound hits easyJet profits; The company, confirmed it will set up a separate airline operation in continental Europe in case it is unable to keep its current flying arrangements once the UK leaves the EU","369 words","The Independent (United Kingdom)","BUSINESS NEWS",
,"November 21, 2016",,"Osborne austerity continues in Brexit Budget [...]","37 words","i-Independent Print Ltd","FEATURES; Pg. 1",
,"November 21, 2016",,"Osborne austerity continues in Brexit Budget","37 words","i-Independent Print Ltd","FEATURES; Pg. 1",
"Laura Mowat","November 23, 2016 Wednesday 1:40 PM GMT",,"BREXIT BONUS: Business booms for parcel firm in the wake of out vote","370 words","Express Online",,
"MAIL ONLINE REPORTER","November 20, 2016 Sunday 9:52 AM GMT",,"BBC faces a bias backlash as producer who joined Bob Geldof's pro-EU 'luvvies' flotilla is to head up a flagship Brexit show","370 words","MailOnline","NEWS",
"Lana Clements","November 22, 2016 Tuesday 12:29 PM GMT",,"BREXIT BOOST: Canada hails 'affinity' with UK and backs new trade deal between nations","371 words","Express Online",,
"Zoie O'Brien","November 18, 2016 Friday 12:17 PM GMT",,"THREAT TO BREXIT: Sturgeon WILL be allowed to intervene in legal challenge, court rules","371 words","Express Online",,
"By David McDonnell","November 17, 2016 Thursday 12:48 PM GMT",,"Manchester United's debt climbs 18% to £338million due to Brexit vote as operating profit drops 35%; Foreign exchange rate movements, a consequence of Britain's referendum on EU membership, have hit United hard","371 words","mirror.co.uk","SPORT,FOOTBALL,NEWS",
"Zlata Rodionova","November 15, 2016 Tuesday 10:12 AM GMT",,"Easyjet profits drop after Brexit's hammering of the pound; The company, confirmed it will set up a separate airline operation in continental Europe in case it is unable to keep its current flying arrangements once the UK leaves the EU","373 words","The Independent (United Kingdom)","BUSINESS NEWS",
"By Natalie Evans","November 15, 2016 Tuesday 3:45 AM GMT",,"Theresa May addresses Trump and Brexit in Lord Mayor's banquet speech (but some guests couldn't stay awake); The Prime Minister described Trump's shock election victory and Britain's vote to leave the EU as proof that change is happening","373 words","mirror.co.uk","NEWS,UK NEWS",
"Leo Cendrowicz IN BRUSSELS","November 23, 2016",,"EU leaders lay into Britain over vague Brexit plan; EUROPE","376 words","i-Independent Print Ltd","NEWS; Pg. 7",
"Greg Heffer, Political Reporter","November 22, 2016 Tuesday 11:54 AM GMT",,"EU's top court to play pivotal role in Brexit claims bloc's most senior judge","376 words","Express Online",,
"By Steven Swinford, Deputy Political Editor","November 18, 2016 Friday 6:02 PM GMT",,"Nicola Sturgeon allowed to join Supreme Court case which could block Theresa May's Brexit plans","376 words","telegraph.co.uk","NEWS",
"By Michael Wilkinson, Political Correspondent","November 16, 2016 Wednesday 8:05 AM GMT",,"Angela Merkel signals key concession on freedom of movement as Canada hints at trade deal with post-Brexit Britain, plus PMQs live","3762 words","telegraph.co.uk","NEWS",
"Will Worley","November 17, 2016 Thursday 1:46 AM GMT",,"Brexit campaigners created dangerously toxic EU debate where 'facts didn't matter', inquiry hears; Leave.EU deliberately highlighted 'immigration, sovereignty, nationality as a tool to wind people up', MPs told","377 words","The Independent (United Kingdom)","HOME NEWS",
"CHRIS MUSSON","November 22, 2016 Tuesday",,"WE WANT TO PLAY IN CHAMPS LEAGUE; BID TO JOIN ELITE EURO TEAM ; Eck's Brexit mission","378 words","The Sun (England)","NEWS; Pg. 2",
"Ajay Nair","November 18, 2016 Friday 9:01 PM GMT",,"Question Time audience member goes viral after he DESTROYS opposition to Brexit and Trump","379 words","Express Online",,
"BEN CHU ECONOMICS EDITOR","November 18, 2016 Friday",,"Retail sales continue to defy analysts after Brexit vote","379 words","The Independent - Daily Edition","BUSINESS; Pg. 62",
"Ben Chu","November 17, 2016 Thursday 9:49 AM GMT",,"Brexit latest: Retail sales surge in October; Sales jump 1.9 per cent, in biggest jump since July,as trade boosted by cooler weather and Halloween","379 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Zlata Rodionova","November 24, 2016 Thursday 10:33 AM GMT",,"Brexit: Cost of bailing out banks to taxpayer hits £27bn after EU referendum vote; Shares in RBS and Lloyds have lost around a fifth of their value in 2016, hit by a heavy sell-off in financial stocks in February and the Brexit vote in June","380 words","The Independent (United Kingdom)","BUSINESS NEWS",
"ZLATA RODIONOVA","November 23, 2016 Wednesday",,"Brexit vote wipes £1.2 trillion off UK household finances in 2016","380 words","The Independent - Daily Edition","BUSINESS; Pg. 49",
"DAVE BURKE FOR MAILONLINE","November 19, 2016 Saturday 12:11 PM GMT",,"Senior Tories including Michael Gove pen a letter to Theresa May demanding 'hard Brexit' and a clean break from the EU","380 words","MailOnline","NEWS",
"Jill Treanor","November 17, 2016 Thursday 6:56 PM GMT",,"Brexit unlikely to mean loss of City's role in processing deals in euros; London likely to remain home of £460tn-a-year business, according to analysis by ratings agency S&P","380 words","The Guardian","BUSINESS",
"Sarah O'Grady","November 25, 2016 Friday 12:00 AM GMT",,"BREXIT BORROWERS: Homeowners believe leaving EU will force DOWN mortgage costs","381 words","Express Online",,
"BY SENIOR POLITICAL CORRESPONDENT","November 21, 2016 Monday",,"THAT'LL SPEED UP BREXIT... BLAIR'S NEW FIGHT FOR EU","381 words","DAILY MAIL (London)",,
"David Crossland","November 16, 2016 Wednesday",,"Growth in Germany stumbles after Brexit","381 words","The Times (London)","BUSINESS; Pg. 44",
"By Jessica Haworth","November 25, 2016 Friday 10:54 PM GMT",,"Defeated Remain voters could opt out of Brexit by buying EU citizenship and paying an annual fee; A new proposal will be put forward that suggests Brits unhappy with the decision could buy an individual membership of the EU","382 words","mirror.co.uk","NEWS,UK NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE, TIM SCULTHORPE, DEPUTY POLITICAL EDITOR FOR MAILONLINE and MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 21, 2016 Monday 1:57 PM GMT",,"Sweeteners for the JAMs! Chancellor cuts taxes and housing costs to help millions of 'just managing' families as he says Brexit is 'new chapter' for Britain","3821 words","MailOnline","NEWS",
"Ajay Nair","November 14, 2016 Monday 10:40 PM GMT",,"'It fills me with fear' Hate crime victim claims 'headscarf' ordeal was sparked by BREXIT","385 words","Express Online",,
"Alan Jones","November 20, 2016 Sunday 12:01 AM GMT",,"Firms eye post-Brexit innovation","386 words","Express Online",,
"Graham Ruddick","November 15, 2016 Tuesday 12:01 AM GMT",,"Office construction in central London hits eight-year high; Amount of office space being built rises to 14.8m sq ft as key business districts shrug off Brexit jitters","386 words","The Guardian","BUSINESS",
"PRESS ASSOCIATION","November 25, 2016 Friday 5:04 PM GMT",,"Britons could keep benefits of EU membership after Brexit but only if they PAY under new plan being considered by Euro MPs","388 words","MailOnline","NEWS",
"Rob Merrick","November 15, 2016 Tuesday 3:01 PM GMT",,"Theresa May dealt fresh blow as Supreme Court judge signals major delay on starting Brexit; Lady Brenda Hale said a ""simple Act of Parliament"" may not be sufficient to start the process, arguing a 'comprehensive replacement' of a 1972 Act may be needed","388 words","The Independent (United Kingdom)","UK POLITICS",
"Zlata Rodionova","November 22, 2016 Tuesday 8:24 AM GMT",,"Brexit causes UK to lose more than 400,000 millionaires; In the space of 12 months, about£1.2tnhas been wiped off the value of household wealth in the UK, as sterling dropped against the dollar","389 words","The Independent (United Kingdom)","BUSINESS NEWS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 22, 2016 Tuesday 10:16 AM GMT",,"Another nail in Project Fear's coffin! Government borrowing falls again as the economy continues to defy doom-laden Brexit warnings","389 words","MailOnline","NEWS",
"Toby Helm Political editor","November 19, 2016 Saturday 10:06 PM GMT",,"Why Europe will drive a hard Brexit; The timing and manner of Britain's leaving remains unclear but the rest of Europe is preparing for the divorce","3892 words","The Observer (London)","POLITICS",
"SIMON WALTERS FOR THE MAIL ON SUNDAY","November 20, 2016 Sunday 1:35 AM GMT",,"Oh b*******! I'm in a bally musical, too: SIMON WALTERS reviews the first night of Brexit The Musical","390 words","MailOnline","NEWS",
"Will Kirby","November 18, 2016 Friday 1:58 AM GMT",,"Putin's had 'FOUR CHRISTMASES in a row' after Brexit & Trump win, ex-German minister says","390 words","Express Online",,
"Zlata Rodionova","November 15, 2016 Tuesday 5:59 PM GMT",,"Google's plans to build huge new London HQ for 7,000 employees hailed as 'major vote of confidence' for Brexit Britain; Google currently employes around 4,000 people in the UK, a figure that could now nearly double to 7,000","390 words","The Independent (United Kingdom)","BUSINESS NEWS",
"ASHLEY COWBURN POLITICAL CORRESPONDENT","November 15, 2016 Tuesday",,"Government intends to remain in EU security agency Europol until Brexit","390 words","The Independent - Daily Edition","NEWS; Pg. 8",
"LUCY PASHA-ROBINSON","November 21, 2016 Monday",,"Marine Le Pen takes strong lead in French election poll; The results add to growing fears the far-right leader could be on course for victory in wake of shock Brexit and US presidential votes, Lucy Pasha-Robinson writes","391 words","The Independent - Daily Edition","NEWS; Pg. 24",
"Joe Watts","November 16, 2016 Wednesday 5:19 PM GMT",,"EU Commission reveals plans for 'travel tax' on British citizens after Brexit; The system would also mean UK citizens having to fill out a form to travel to an EU country","392 words","The Independent (United Kingdom)","UK POLITICS",
"Joey Millar","November 23, 2016 Wednesday 9:24 PM GMT",,"Farage calls for 'TOTAL REVOLUTION' in Britain following Brexit and Donald Trump victories","393 words","Express Online",,
"By Alan Tovey, Industry Editor","November 22, 2016 Tuesday 3:52 PM GMT",,"Hewden collapses into adminstration after warning about Brexit slowdown","394 words","telegraph.co.uk","BUSINESS",
"Anushka Asthana Political editor","November 21, 2016 Monday 7:00 PM GMT",,"Hard Brexit would be disaster for working people, say Labour MPs; Dozens of MPs write letter in response to calls from Tories for withdrawal from single market and EU customs union","394 words","The Guardian","POLITICS",
"Jennifer Rankin in Brussels","November 21, 2016 Monday 11:28 AM GMT",,"Support for the EU on the rise since Brexit vote ... even in the UK; August poll by the Bertelsmann Foundation shows that 56% of Britons want to stay in the bloc","394 words","The Guardian","WORLD NEWS",
"Lana Clements","November 19, 2016 Saturday 5:09 PM GMT",,"Brexit boost: An end to austerity: What to expect from Philip Hammond's Autumn Statement","394 words","Express Online",,
,"November 16, 2016 Wednesday",,"The EU finally gets the Brexit message; ESTABLISHED 1855","394 words","The Daily Telegraph (London)","LETTERS; Pg. 19",
"Ajay Nair","November 22, 2016 Tuesday 3:30 PM GMT",,"'DON'T call them racist' Sadiq Khan says Remainers need to understand and accept Brexit","395 words","Express Online",,
"Will Kirby","November 25, 2016 Friday 12:32 AM GMT",,"Nigel Farage 'set for lucrative speaking tour of the US next year' after Brexit success","396 words","Express Online",,
